학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008375,숙명여자중학교,중학교,1906-05-22,사립,본교,운영,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.49105985,127.05167,2021-03-25
B000002353,서울옥수초등학교,초등학교,1967-03-06,공립,본교,운영,서울특별시 성동구 금호동4가 440-12,서울특별시 성동구 금호로1길 25,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2020-09-22,37.5461524,127.0220121,2021-03-25
B000008347,서운중학교,중학교,1982-03-01,공립,본교,운영,서울특별시 서초구 서초동 1325-1,서울특별시 서초구 서운로 115,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.49375946,127.0247303,2021-03-25
B000008410,무학중학교,중학교,1968-10-01,공립,본교,운영,서울특별시 성동구 행당동 322-1,서울특별시 성동구 행당로 120,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2020-09-22,37.557713799999995,127.03220729999998,2021-03-25
B000008412,성수중학교,중학교,1967-10-27,공립,본교,운영,서울특별시 성동구 성수동1가 685-143,서울특별시 성동구 서울숲길 18,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2020-09-22,37.5482006,127.0383249,2021-03-25
B000001984,서울문성초등학교,초등학교,1956-04-06,공립,본교,운영,서울특별시 금천구 독산동 982,서울특별시 금천구 시흥대로 460,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.47454373,126.8993703,2021-03-25
B000008354,서문여자중학교,중학교,1978-12-29,사립,본교,운영,서울특별시 서초구 방배동 1514,서울특별시 서초구 동광로12길 84,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.48879406,126.9845622,2021-03-25
B000008380,국사봉중학교,중학교,1986-04-23,공립,본교,운영,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로20길 20,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.49373443,126.9450235,2021-03-25
B000002099,서울광희초등학교,초등학교,1895-07-16,공립,본교,운영,서울특별시 중구 신당동 254-16,서울특별시 중구 다산로 269,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2020-09-22,37.56735918,127.0151801,2021-03-25
B000012062,개포고등학교,고등학교,1987-03-01,공립,본교,운영,서울특별시 강남구 개포동 173,서울특별시 강남구 개포로 402,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.48495285,127.05921809999998,2021-03-25
B000008339,등촌중학교,중학교,1981-01-30,사립,본교,운영,서울특별시 강서구 등촌동 산36-4,서울특별시 강서구 공항대로 484-12,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.551949799999996,126.8597979,2021-03-25
B000012029,문일고등학교,고등학교,1975-03-04,사립,본교,운영,서울특별시 금천구 시흥동 559-1,서울특별시 금천구 시흥대로47길 45,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.44914501,126.89907209999998,2021-03-25
B000008265,송파중학교,중학교,1978-10-10,공립,본교,운영,서울특별시 송파구 가락동 139,서울특별시 송파구 동남로 203,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.49563672,127.1299138,2021-03-25
B000008388,문창중학교,중학교,1981-05-08,공립,본교,운영,서울특별시 동작구 신대방동 364-58,서울특별시 동작구 여의대방로22나길 40,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.49580287,126.92177290000001,2021-03-25
B000022765,경복비즈니스고등학교,고등학교,1972-10-02,사립,본교,운영,서울특별시 강서구 등촌동 131,서울특별시 강서구 화곡로 379,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.55802536,126.85252870000001,2021-03-25
B000002043,서울온곡초등학교,초등학교,1988-10-10,공립,본교,운영,서울특별시 노원구 상계동 638,서울특별시 노원구 한글비석로52길 59,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.66739926,127.06598290000001,2021-03-25
B000008332,화원중학교,중학교,1996-03-02,공립,본교,운영,서울특별시 강서구 화곡동 351-94,서울특별시 강서구 강서로17나길 86,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.53669195,126.8424164,2021-03-25
B000008342,경원중학교,중학교,1981-03-01,공립,본교,운영,서울특별시 서초구 잠원동 66-1,서울특별시 서초구 신반포로33길 39,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.51106332,127.0093138,2021-03-25
B000011347,한강미디어고등학교,고등학교,1995-01-10,공립,본교,운영,서울특별시 영등포구 양평동4가 315-1,서울특별시 영등포구 선유로55길 22,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.5389561,126.8975045,2021-03-25
B000002343,서울관악초등학교,초등학교,1971-12-04,공립,본교,운영,서울특별시 관악구 봉천동 920,서울특별시 관악구 청룡4길 49,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.48065828,126.94292379999999,2021-03-25
