lib_name,date,행정동,ylabel
강남구립즐거운도서관,201906,대치4동,5625.0
강남구립즐거운도서관,201907,대치4동,0.0
강남구립즐거운도서관,201908,대치4동,0.0
강남구립즐거운도서관,201909,대치4동,1944.0
강남구립즐거운도서관,201910,대치4동,303233.0
강남구립즐거운도서관,201911,대치4동,6107.0
강남구립즐거운도서관,201912,대치4동,5978.0
강남구립즐거운도서관,202001,대치4동,6285.0
강남구립즐거운도서관,202002,대치4동,32550.0
강남구립즐거운도서관,202003,대치4동,40616.0
강남구립즐거운도서관,202004,대치4동,3268.0
강남구립즐거운도서관,202005,대치4동,3032.0
강남구립즐거운도서관,202006,대치4동,1787.0
강남구립즐거운도서관,202007,대치4동,4884.0
강남구립즐거운도서관,202008,대치4동,1834.0
강남구립즐거운도서관,202009,대치4동,2156.0
강남구립즐거운도서관,202010,대치4동,4480.0
강남구립즐거운도서관,202011,대치4동,5058.0
강남구립즐거운도서관,202012,대치4동,1265.0
강남구립즐거운도서관,202101,대치4동,1012.0
강남구립즐거운도서관,202102,대치4동,0.0
강남구립즐거운도서관,202103,대치4동,0.0
강남구립즐거운도서관,202104,대치4동,0.0
강남구립즐거운도서관,202105,대치4동,21793.0
강남구립즐거운도서관,202106,대치4동,5021.0
강남구립즐거운도서관,202107,대치4동,6035.0
강남구립청담도서관,201902,청담동,4207.0
강남구립청담도서관,201903,청담동,4491.0
강남구립청담도서관,201904,청담동,4445.0
강남구립청담도서관,201905,청담동,3246.0
강남구립청담도서관,201906,청담동,3929.0
강남구립청담도서관,201907,청담동,0.0
강남구립청담도서관,201908,청담동,0.0
강남구립청담도서관,201909,청담동,2235.0
강남구립청담도서관,201910,청담동,21328.0
강남구립청담도서관,201911,청담동,3894.0
강남구립청담도서관,201912,청담동,-1514.0
강남구립청담도서관,202001,청담동,3795.0
강남구립청담도서관,202002,청담동,1113.0
강남구립청담도서관,202003,청담동,2482.0
강남구립청담도서관,202004,청담동,2599.0
강남구립청담도서관,202005,청담동,2803.0
강남구립청담도서관,202006,청담동,1074.0
강남구립청담도서관,202007,청담동,3222.0
강남구립청담도서관,202008,청담동,1478.0
강남구립청담도서관,202009,청담동,234.0
강남구립청담도서관,202010,청담동,3081.0
강남구립청담도서관,202011,청담동,3513.0
강남구립청담도서관,202012,청담동,1659.0
강남구립청담도서관,202101,청담동,821.0
강남구립청담도서관,202102,청담동,0.0
강남구립청담도서관,202103,청담동,0.0
강남구립청담도서관,202104,청담동,0.0
강남구립청담도서관,202105,청담동,14436.0
강남구립청담도서관,202106,청담동,3264.0
강남구립청담도서관,202107,청담동,4731.0
강남구립행복한도서관,201902,대치2동,6794.0
강남구립행복한도서관,201903,대치2동,6910.0
강남구립행복한도서관,201904,대치2동,7216.0
강남구립행복한도서관,201905,대치2동,5568.0
강남구립행복한도서관,201906,대치2동,6316.0
강남구립행복한도서관,201907,대치2동,0.0
강남구립행복한도서관,201908,대치2동,0.0
강남구립행복한도서관,201909,대치2동,2134.0
강남구립행복한도서관,201910,대치2동,204752.0
강남구립행복한도서관,201911,대치2동,11467.0
강남구립행복한도서관,201912,대치2동,2489.0
강남구립행복한도서관,202001,대치2동,8933.0
강남구립행복한도서관,202002,대치2동,4769.0
강남구립행복한도서관,202003,대치2동,8926.0
강남구립행복한도서관,202004,대치2동,4121.0
강남구립행복한도서관,202005,대치2동,4052.0
강남구립행복한도서관,202006,대치2동,1843.0
강남구립행복한도서관,202007,대치2동,6170.0
강남구립행복한도서관,202008,대치2동,2057.0
강남구립행복한도서관,202009,대치2동,2375.0
강남구립행복한도서관,202010,대치2동,14093.0
강남구립행복한도서관,202011,대치2동,5118.0
강남구립행복한도서관,202012,대치2동,2373.0
강남구립행복한도서관,202101,대치2동,972.0
강남구립행복한도서관,202102,대치2동,0.0
강남구립행복한도서관,202103,대치2동,0.0
강남구립행복한도서관,202104,대치2동,0.0
강남구립행복한도서관,202105,대치2동,22835.0
강남구립행복한도서관,202106,대치2동,22.0
